x,y
-0.03582405123294705,1532809.8477052355
-0.03582404927575712,1532809.842270911
-0.035824047318567184,4087492.9272139613
-0.03582404536137725,6642176.006722687
-0.03582404340418732,10729668.933936648
-0.03582404144699739,13795288.5804382
-0.035824039489807454,29634323.722301215
-0.03582403753261752,38320246.19263088
-0.03582403557542759,43429612.19767581
-0.035824033618237654,45984295.43115706
-0.03582403166104772,52115534.821978
-0.03582402970385779,50582724.974272765
-0.03582402774666786,54670217.70766249
-0.03582402578947792,45473358.815255314
-0.03582402383228799,38831182.80853263
-0.03582402187509806,28612450.389057007
-0.03582401991790812,22481211.099676784
-0.03582401796071819,8174985.8544279225
-0.03582401600352826,4087492.9127224293
-0.03582401404633832,6131239.390820942
-0.03582401208914839,2043746.4636069806
-0.03582401013195846,510936.61590174516
-0.03582400817476853,510936.61409030366
-0.03582400621757859,1021873.2318034903
-0.03582400426038866,
