x,y
-0.14699141025323198,2374509.9621178852
-0.14699140856867388,1187254.9810589426
-0.14699140688411577,4155392.36524009
-0.14699140519955764,4749019.9242357705
-0.14699140351499954,12466177.301118897
-0.14699140183044143,19589706.864703283
-0.1469914001458833,18402452.206413608
-0.1469913984613252,26119609.583296735
-0.1469913967767671,39179414.3749451
-0.146991395092209,42147551.82759246
-0.14699139340765088,58769120.59410984
-0.14699139172309275,51051964.18553453
-0.14699139003853465,66486278.93930078
-0.14699138835397654,66486277.84384144
-0.1469913866694184,48083826.73288717
-0.1469913849848603,35617649.431768276
-0.1469913833003022,30868629.507532503
-0.1469913816157441,25525982.092767265
-0.146991379931186,18402451.903206114
-0.14699137824662786,11278922.320059953
-0.14699137656206976,5342647.414765242
-0.14699137487751165,1780882.4422457528
-0.14699137319295352,1780882.4715884137
-0.14699137150839542,1187254.9810589426
-0.14699136982383731,0.0
-0.1469913681392792,0.0
-0.1469913664547211,0.0
-0.14699136477016297,593627.4905294713
-0.14699136308560487,
