x,y
-0.03087767164303806,520010.22769948887
-0.03087766971999896,1040020.4535226271
-0.030877667796959857,1040020.4553989777
-0.030877665873920757,3120061.3605678813
-0.030877663950881654,11440225.009388756
-0.030877662027842555,8840173.870891312
-0.030877660104803455,17680347.70988466
-0.030877658181764352,28080552.2957724
-0.030877656258725253,28600562.471872244
-0.03087765433568615,39000767.07746167
-0.03087765241264705,56681114.819244295
-0.03087765048960795,50440991.99584741
-0.030877648566568848,50961002.31454991
-0.03087764664352975,52001022.76994889
-0.03087764472049065,43680859.04795034
-0.030877642797451546,39000767.07746167
-0.030877640874412447,33800664.739485376
-0.030877638951373344,16120317.058684157
-0.030877637028334244,19240378.42488109
-0.030877635105295145,7280143.174658389
-0.03087763318225604,6760132.960093355
-0.030877631259216942,2600051.1338065676
-0.03087762933617784,2080040.9107979555
-0.03087762741313874,
